team,goals,points,rankings,group
Qatar,1.0,0,0.0,1
Ecuador,4.0,4,0.0,1
England,13.0,7,0.0,2
IR Iran,4.0,3,0.0,2
Senegal,5.0,6,0.0,1
Netherlands,13.0,7,0.0,1
United States,3.0,5,0.0,2
Wales,1.0,1,0.0,2
Argentina,23.0,6,1.0,3
Saudi Arabia,3.0,3,0.0,3
Denmark,1.0,1,0.0,4
Tunisia,1.0,4,0.0,4
Mexico,2.0,4,0.0,3
Poland,3.0,4,0.0,3
France,18.0,6,2.0,4
Australia,4.0,6,0.0,4
Morocco,9.0,7,4.0,6
Croatia,15.0,5,3.0,6
Germany,6.0,4,0.0,5
Japan,6.0,6,0.0,5
Spain,9.0,4,0.0,5
Costa Rica,3.0,3,0.0,5
Belgium,1.0,4,0.0,6
Canada,2.0,0,0.0,6
Switzerland,5.0,6,0.0,7
Cameroon,4.0,4,0.0,7
Uruguay,2.0,4,0.0,8
Korea Republic,5.0,4,0.0,8
Portugal,12.0,6,0.0,8
Ghana,5.0,3,0.0,8
Brazil,10.0,6,0.0,7
Serbia,5.0,1,0.0,7
